Instance Type	Price	Virtual Cores	Memory
c3.large	0.105	2	3.75
c1.medium	0.13	2	1.7
c3.xlarge	0.21	4	7.5
c3.2xlarge	0.42	8	15
c1.xlarge	0.52	8	7
c3.4xlarge	0.84	16	30
c3.8xlarge	1.68	32	60
cc2.8xlarge	2	32	60.5
g2.2xlarge	0.65	8	15
cg1.4xlarge	2.1	16	22.5
m3.medium	0.07	1	3.75
t2.micro	0.013	1	1
t2.small	0.026	1	2
m1.small	0.044	1	1.7
m1.medium	0.087	1	3.75
m3.large	0.14	2	7.5
t2.medium	0.052	2	4
m1.large	0.175	2	7.5
m3.xlarge	0.28	4	15
m1.xlarge	0.35	4	15
m3.2xlarge	0.56	8	30
r3.large	0.175	2	15
m2.xlarge	0.245	2	17.1
r3.xlarge	0.35	4	30.5
m2.2xlarge	0.49	4	34.2
r3.2xlarge	0.7	8	61
m2.4xlarge	0.98	8	68.4
r3.4xlarge	1.4	16	122
r3.8xlarge	2.8	32	244
cr1.8xlarge	3.5	32	244
t1.micro	0.02	1	0.615
i2.xlarge	0.853	4	30.5
i2.2xlarge	1.705	8	61
i2.4xlarge	3.41	16	122
hs1.8xlarge	4.6	16	117
hi1.4xlarge	3.1	16	60.5
i2.8xlarge	6.82	32	244
