Instance Type	Price	Virtual Cores	Memory	ECU
m4.large	0.12	2	8	6.5
m4.xlarge	0.239	4	16	13
m4.2xlarge	0.479	8	32	26
m4.4xlarge	0.958	16	64	53.5
m4.10xlarge	2.394	40	160	124.5
m3.medium	0.067	1	3.75	3
m3.large	0.133	2	7.5	6.5
m3.xlarge	0.266	4	15	13
m3.2xlarge	0.532	8	30	26
c4.large	0.105	2	3.75	8
c4.xlarge	0.209	4	7.5	16
c4.2xlarge	0.419	8	15	31
c4.4xlarge	0.838	16	30	62
c4.8xlarge	1.675	36	60	132
c3.large	0.105	2	3.75	7
c3.xlarge	0.21	4	7.5	14
c3.2xlarge	0.42	8	15	28
c3.4xlarge	0.84	16	30	55
c3.8xlarge	1.68	32	60	108
