Instance Type	ln(Price)	Memory	ln(ECU)
m4.large	-2.120263536	8	1.871802177
m4.xlarge	-1.431291727	16	2.564949357
m4.2xlarge	-0.736054682	32	3.258096538
m4.4xlarge	-0.042907501	64	3.979681654
m4.10xlarge	0.872965607	160	4.824305716
m3.medium	-2.70306266	3.75	1.098612289
m3.large	-2.017406151	7.5	1.871802177
m3.xlarge	-1.32425897	15	2.564949357
m3.2xlarge	-0.63111179	30	3.258096538
c4.large	-2.253794929	3.75	2.079441542
c4.xlarge	-1.565421027	7.5	2.772588722
c4.2xlarge	-0.869884359	15	3.433987204
c4.4xlarge	-0.176737179	30	4.127134385
c4.8xlarge	0.515813165	60	4.882801923
c3.large	-2.253794929	3.75	1.945910149
c3.xlarge	-1.560647748	7.5	2.63905733
c3.2xlarge	-0.867500568	15	3.33220451
c3.4xlarge	-0.174353387	30	4.007333185
c3.8xlarge	0.518793793	60	4.682131227
