Start time;17:15:38 20/02/2021
Instance type;c3.8xlarge
Availability zone filter;us-east-1c
Analysis label;SeptemberToNovember2016
First point;21:00:08 08/09/2016
Last point;23:59:58 30/11/2016
Occurrences read;212738
Outliers removed;322
Estimation accuracy (sigma);0.01
Window size (ms);43200000
Future window size (ms);43200000
On demand Lower Limit Price Factor (eta);0.0
On demand Upper Limit Price Factor (theta);2.0
On demand Price;1.68
Average price;0.54194875
Price variance;0.07582443
Price standard deviation;0.27536235
Average bid;0.81627667
Highest bid;2.11000000
Last bid;0.86000000
Average availability;0.97677100
Average utility;1.55528552
Average normalized utility;0.77445594
(Fixed bid in future window) Average availability;NaN
(Fixed bid in future window) Average bid;NaN
(Fixed bid in future window) Average first chunk size (in ms);NaN
(Fixed bid in future window) Average first chunk size (in %);NaN
(Fixed bid in future window) Ocorrences with durability equal to future window;0
(Hourly variable bid in future window) Average availability;NaN
(Hourly variable bid in future window) Average bid;NaN
(Hourly variable bid in future window) Average first chunk size (in ms);NaN
(Hourly variable bid in future window) Average first chunk size (in %);NaN
(Hourly variable bid in future window) Ocorrences with durability equal to future window;0
(Variable bid in future window) Average availability;NaN
(Variable bid in future window) Average bid;NaN
(Variable bid in future window) Average first chunk size (in ms);NaN
(Variable bid in future window) Average first chunk size (in %);NaN
(Variable bid in future window) Ocorrences with durability equal to future window;0
Average number of points in regressions;1359.4069199534363
Exponential regression best fits;43
Logarithm regression best fits;1
Polynomial regression best fits;211193
Power regression best fits;65
Utility function runs;1690424
Utility function average speedup (ms);4.190183646233135
Total speedup (ms);7083187
End time;19:13:42 20/02/2021
