Start time;21:05:55 20/02/2021
Instance type;m4.10xlarge
Availability zone filter;us-east-1c
Analysis label;SeptemberToNovember2016
First point;21:21:38 08/09/2016
Last point;23:59:51 30/11/2016
Occurrences read;65944
Outliers removed;631
Estimation accuracy (sigma);0.01
Window size (ms);43200000
Future window size (ms);43200000
On demand Lower Limit Price Factor (eta);0.0
On demand Upper Limit Price Factor (theta);2.0
On demand Price;2.394
Average price;0.46250972
Price variance;0.03733291
Price standard deviation;0.19321726
Average bid;0.63921154
Highest bid;1.78000000
Last bid;0.76000000
Average availability;0.99573386
Average utility;2.02685680
Average normalized utility;0.77093753
(Fixed bid in future window) Average availability;NaN
(Fixed bid in future window) Average bid;NaN
(Fixed bid in future window) Average first chunk size (in ms);NaN
(Fixed bid in future window) Average first chunk size (in %);NaN
(Fixed bid in future window) Ocorrences with durability equal to future window;0
(Hourly variable bid in future window) Average availability;NaN
(Hourly variable bid in future window) Average bid;NaN
(Hourly variable bid in future window) Average first chunk size (in ms);NaN
(Hourly variable bid in future window) Average first chunk size (in %);NaN
(Hourly variable bid in future window) Ocorrences with durability equal to future window;0
(Variable bid in future window) Average availability;NaN
(Variable bid in future window) Average bid;NaN
(Variable bid in future window) Average first chunk size (in ms);NaN
(Variable bid in future window) Average first chunk size (in %);NaN
(Variable bid in future window) Ocorrences with durability equal to future window;0
Average number of points in regressions;445.2076718968072
Exponential regression best fits;13
Logarithm regression best fits;0
Polynomial regression best fits;65182
Power regression best fits;4
Utility function runs;521624
Utility function average speedup (ms);1.5969280554575709
Total speedup (ms);832996
End time;21:19:48 20/02/2021
