Start time;19:13:42 20/02/2021
Instance type;r3.2xlarge
Availability zone filter;us-east-1c
Analysis label;SeptemberToNovember2016
First point;05:22:01 03/09/2016
Last point;23:59:28 30/11/2016
Occurrences read;218054
Outliers removed;1205
Estimation accuracy (sigma);0.01
Window size (ms);43200000
Future window size (ms);43200000
On demand Lower Limit Price Factor (eta);0.0
On demand Upper Limit Price Factor (theta);3.0
On demand Price;0.665
Average price;0.26119136
Price variance;0.03325155
Price standard deviation;0.18235008
Average bid;0.47720453
Highest bid;1.01000000
Last bid;0.36000000
Average availability;0.97696379
Average utility;1.20137941
Average normalized utility;0.64101565
(Fixed bid in future window) Average availability;NaN
(Fixed bid in future window) Average bid;NaN
(Fixed bid in future window) Average first chunk size (in ms);NaN
(Fixed bid in future window) Average first chunk size (in %);NaN
(Fixed bid in future window) Ocorrences with durability equal to future window;0
(Hourly variable bid in future window) Average availability;NaN
(Hourly variable bid in future window) Average bid;NaN
(Hourly variable bid in future window) Average first chunk size (in ms);NaN
(Hourly variable bid in future window) Average first chunk size (in %);NaN
(Hourly variable bid in future window) Ocorrences with durability equal to future window;0
(Variable bid in future window) Average availability;NaN
(Variable bid in future window) Average bid;NaN
(Variable bid in future window) Average first chunk size (in ms);NaN
(Variable bid in future window) Average first chunk size (in %);NaN
(Variable bid in future window) Ocorrences with durability equal to future window;0
Average number of points in regressions;1321.9723987099276
Exponential regression best fits;74
Logarithm regression best fits;2
Polynomial regression best fits;216501
Power regression best fits;152
Utility function runs;1733864
Utility function average speedup (ms);2.5892140329345326
Total speedup (ms);4489345
End time;20:28:31 20/02/2021
